id_sinistro;tipo_registro;data_sinistro;ano_sinistro;mes_sinistro;dia_sinistro;hora_sinistro;ano_mes_sinistro;dia_da_semana;turno;logradouro;numero_logradouro;tipo_via;tipo_local;latitude;longitude;cod_ibge;municipio;regiao_administrativa;administracao;conservacao;circunscricao;tp_sinistro_primario;qtd_pedestre;qtd_bicicleta;qtd_motocicleta;qtd_automovel;qtd_onibus;qtd_caminhao;qtd_veic_outros;qtd_veic_nao_disponivel;qtd_gravidade_fatal;qtd_gravidade_grave;qtd_gravidade_leve;qtd_gravidade_ileso;qtd_gravidade_nao_disponivel;tp_sinistro_atropelamento;tp_sinistro_colisao_frontal;tp_sinistro_colisao_traseira;tp_sinistro_colisao_lateral;tp_sinistro_colisao_transversal;tp_sinistro_colisao_outros;tp_sinistro_choque;tp_sinistro_capotamento;tp_sinistro_engavetamento;tp_sinistro_tombamento;tp_sinistro_outros;tp_sinistro_nao_disponivel
1682668;NOTIFICACAO;01/01/2022;2022;01;01;12:30;2022/01;Sábado;TARDE;ESTRADA DA QUINTA DIVISA;100.0;VIAS URBANAS;NAO DISPONIVEL;-23,68294782;-46,30132968;3552502;SUZANO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
2297903;NOTIFICACAO;01/01/2022;2022;01;01;13:59;2022/01;Sábado;TARDE;AVENIDA PRUDENTE DE MORÃES;100.0;VIAS URBANAS;NAO DISPONIVEL;-21,9925876;-47,42305056;3539301;PIRASSUNUNGA;CAMPINAS;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1613416;SINISTRO NAO FATAL;01/01/2022;2022;01;01;11:33;2022/01;Sábado;MANHA;AVENIDA MAESTRO HERVÉ CORDOVIL;247.0;VIAS URBANAS;PUBLICO;-21,12748301;-47,80686494;3543402;RIBEIRAO PRETO;RIBEIRÃO PRETO;PREFEITURA;PREFEITURA;MUNICIPAL;COLISAO;;;;;1;;;1;;;1;;1;;;;S;;;;;;;S;
1742988;NOTIFICACAO;01/01/2022;2022;01;01;15:55;2022/01;Sábado;TARDE;RUA AMÉLIA CORREIO PONTES GUIMARÃES;1400.0;VIAS URBANAS;NAO DISPONIVEL;-23,95212189;-47,05103079;3526209;JUQUITIBA;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;ATROPELAMENTO;;;;;;;;;;;;;;S;;;;;;;;;;;
1806766;NOTIFICACAO;01/01/2022;2022;01;01;17:10;2022/01;Sábado;TARDE;SP 150;10.0;ESTRADAS E RODOVIAS;NAO DISPONIVEL;-23,78965051;-46,50177472;3548708;SAO BERNARDO DO CAMPO;METROPOLITANA DE SÃO PAULO;DER;10.01;ESTADUAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1803643;NOTIFICACAO;01/01/2022;2022;01;01;17:37;2022/01;Sábado;TARDE;RUA RIO GRANDE DO SUL;10.0;VIAS URBANAS;NAO DISPONIVEL;-23,82505265;-45,37146312;3520400;ILHABELA;SÃO JOSÉ DOS CAMPOS;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1686006;SINISTRO NAO FATAL;01/01/2022;2022;01;01;14:28;2022/01;Sábado;TARDE;RUA ARARITAGUABA;1069.0;VIAS URBANAS;PUBLICO;-23,51378668;-46,5835236;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;COLISAO;;;;2;;;;;;;1;;;;;;;S;;;;;;;
2459328;SINISTRO FATAL;01/01/2022;2022;01;01;;2022/01;Sábado;NAO DISPONIVEL;;;NAO DISPONIVEL;PUBLICO;;;3516200;FRANCA;FRANCA;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;CHOQUE;;;1;;;;;;1;;;;;;;;;;;S;;;;;
1299648;NOTIFICACAO;01/01/2022;2022;01;01;05:41;2022/01;Sábado;MADRUGADA;AVENIDA DOUTOR FRANCISCO JUNQUEIRA;1835.0;VIAS URBANAS;NAO DISPONIVEL;-21,19187668;-47,79766911;3543402;RIBEIRAO PRETO;RIBEIRÃO PRETO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1366709;NOTIFICACAO;01/01/2022;2022;01;01;06:28;2022/01;Sábado;MANHA;ESTRADA CAPELA;1.0;VIAS URBANAS;NAO DISPONIVEL;-23,03960605;-47,00067718;3556701;VINHEDO;CAMPINAS;PREFEITURA;PREFEITURA;MUNICIPAL;ATROPELAMENTO;;;;;;;;;;;;;;S;;;;;;;;;;;
